causes of mucoid stool	mucus in stool can occur with a variety of intestinal infections that cause severe diarrhea . in more serious conditions — crohn s disease ulcerative colitis and even cancer — mucus in stool may be bloody or accompanied by abdominal pain	1
how long does donor sperm live	sperm ejaculated into a woman 's vagina can live in a woman 's cervical mucus or upper genital tract for three to five days . fertilization is possible as long as the sperm remain alive .	1
how to tell your max heart rate	medicines are used to both prevent and treat osteoporosis . some medicines slow the rate of bone loss or increase bone thickness .	0
what is the percentage of diabetic related amputation	tuesday jan 24 healthday news the rate of leg and foot amputations among diabetes patients aged 40 and older fell by 65 percent between 1996 and 2008 a new u s government study shows	0
how to get rid of ringworm at home	google+ hangouts lets you video call with one person or have a multiway video call with up to 9 other people . to start a hangout from gmail , google+ , or chrome os simply : select the contact you want to chat with in your chat list . click the hangouts icon at the top of the chat window .	0
fibrosarcoma survival rate in dogs	the treatment of choice for most fibrosarcomas is attempting to surgically remove the mass however because of occasional incomplete removal up to two thirds of cases may recur . with vaccine associated fibosarcomas rates of recurrence may be over 90	0
what antibiotics are good for the flu	instead , antiviral medication can be used to treat the viral infections like the flu . but that is a different type of medicine than antibiotics .	1
how big is a baby at 6 months	eventually special wood cutting and shaping machines were created to produce ukuleles . the instrument was steadily modified making it look and sound more like the modern day ukulele . manuel nunes was one of the most important innovators	0
how long does it take to get niacin out of your system	it usually takes around 5 5 half lives for a drug to be eliminated from your system as an estimate then after taking a dose of niacin it should be out of your system within 110mins to 247mins 2hrs to 4hrs	1
how to lower bp	we saw how to use a calculator to solve percent problems in lesson 14 . and in lesson 18 we first introduced the method of proportions . in this lesson we will see problems that anyone who understands percent can do mentally . arithmetic is and always has been a spoken skill .	0
where is the aortic annulus	the aortic root is the portion of the ascending aorta beginning at the aortic annulus and extending to the sinotubular junction . between each commissure of the aortic valve and opposite the cusps of the aortic valve , three small dilatations called the aortic sinuses .	1
diseases in developing countries	step 1 . find a manufacturer or wholesale supplier for your supplements business . check with the national wholesalers association . go to tradepub.com and look for publications that deal with nutritional supplements and wholesalers . check the thomasnet.com website that lists a myriad product manufacturers .	0
does spironolactone cause coughing	Cough is found among people who take Aldactone, especially for people who are male, 60+ old, have been taking the drug for < 1 month, also take medication Lasix, and have Hypertension. We study 19,755 people who have side effects while taking Aldactone from FDA and social media.	0
cream together	learn how to manually add specific songs or videos onto your ios device from your computer . by default , itunes manages the content of your itunes library ( including your music , tv shows , movies , and more ) manually , which gives you control over the content you want to take with you on your iphone , ipad , or ipod touch .	0
what drug is special k	ketamine is considered one of the so-called `` club drugs , '' due to its popularity in nightlife rave settings . sometimes also referred to as `` vitamin k , '' ketamine 's intended purpose is as a veterinary anesthetic for use in animal surgery .	1
amount of protein in egg white	the most abundant nutrient in egg whites is protein . the white from one large egg contains 3.6 grams of protein , and roughly 85 percent of the egg white 's calories come from its protein content .	1
what is the medical term for benign tumor	while cancer is by definition malignant , a tumor can be benign , precancerous , or malignant . the terms `` mass '' and `` nodule '' are often used synonymously with `` tumor '' . generally speaking , however , the term `` tumor '' is used generically , without reference to the physical size of the lesion .	1
when was potassium discovered	potassium was isolated in 1807 by sir humphry davy who obtained it through the electrolysis of very dry molten caustic potash koh potassium hydroxide . potassium collected at the cathode . potassium was the first metal isolated by electrolysis	1
when are headaches dangerous	digre kb . headaches and other head pain . in : goldman l , ausiello d , eds . cecil medicine . 24th ed . philadelphia , pa : saunders elsevier ; 2011 : chap 405 .	0
what kind of antihistamine is claritin	claritin loratadine is an antihistamine that reduces the effect of the natural chemical histamine in the body . histamine can produce symptoms of sneezing itching watery eyes and runny nose	1
diet for hyperglycemia	Click through this slideshow to learn about how nuts, fruits, vegetables, carbohydrates, starches, proteins, sugars, fats, and other nutrients and foods can help or hurt high blood sugar (hyperglycemia).	1
what age do kids teeth start falling out	a child s baby teeth primary teeth begin to loosen and fall out on their own to make room for permanent teeth at about age 6 . timing can vary though and girls generally lose baby teeth earlier than do boys	1
how long does it take to heal bone bruise on shin	repeated impacts worsen bruises increasing the harm level . normally light bruises heal nearly completely within two weeks although duration is affected by variation in severity and individual healing processes generally more severe or deeper bruises take somewhat longer	1
who classification of acute leukemia	the world health organization who classification of acute myeloid leukemia aml incorporates and interrelates morphology cytogenetics molecular genetics and immunologic markers in an attempt to construct a classification that is universally applicable and prognostically valid . 1 in the older french american british fab criteria the classification of aml is solely based upon morphology as determined by the degree of differentiation along different cell lines and the extent of cell maturation . 2 3	1
where is the tibial nerve in the foot	below the soleus muscle the nerve lies close to the tibia and supplies the tibialis posterior , the flexor digitorum longus and the flexor hallucis longus . the nerve passes into the foot running posterior to the medial malleolus .	1
3 major veins that enter the right atrium	pregnant women who need the vaccine should wait until after giving birth . women should avoid getting pregnant for 4 weeks after vaccination with mmr vaccine . tell your doctor if the person getting the vaccine : has hiv/aids , or another disease that affects the immune system .	0
how long does food poisoning last for toddlers	in the majority of individuals with mild to moderate symptoms of food poisoning ( viral and bacterial ) , symptoms resolve in about 24 to 48 hours and no specific medical treatment is needed .	1
cutaneous t-cell lymphoma symptoms	administrators can create a password to prevent others from changing the uefi settings . this is typically used in organizations that need to protect sensitive information . exit setup . save and exit . to save your changes and exit , tap or click exit setup , and tap or click yes .	0
carcinoma survival rate	carcinomas of the esophagus were found in one study to have a 58 % mean rate of metastasis to local lymph nodes . in the same study , the number of lymph nodes compromised was correlated with a decrease of the survival rate .	0
titanium plate pain	Various complications can result from titanium plate internal fixation, including infection, exposure, pain, cold intolerance, and palpability. The incidence of such complications has become a topic of recent interest with the advent of resorbable plating.	0
how long for propranolol to take effect	i have to take 40 mg of propranolol ( short-acting ) ... and 60 mg of propranolol ( long-acting ) once per week . but i am also on prozac 60mg a day . the ...	0
how long does dip stay in your system	for those who smoke occasionally , nicotine persists in the body for only 3-4 days only . but for those who are passive smokers the traces of nicotine can be found for as long as 15-20 days .	1
dog with shoulder cancer	Osteosarcoma in dogs is also known as bone cancer. Bones may be affected by tumors and most frequently these are localized close to the knee joint or below the shoulder joint. Osteosarcoma has been associated with sudden bone growths and larger dog breeds are more exposed to developing bone tumors.	1
non weight bearing exercise for knee	Lower extremity kinematics, kinetics, and electromyography of the knee musculature were obtained during a weight-bearing squatting exercise and 2 non-weight-bearing knee extension exercises: (1) knee extension with variable resistance, and (2) knee extension with constant resistance.	0
fever after tylenol	Take Ibuprofen (advil, motrin), 2-3 tablets every 4-6 hours. Do not use Ibuprofen if you have a history of aspirin allergy or a stomach ulcer. You can use both ibuprofen and Tylenol (acetaminophen) for fever control. You can alternate them, so that you can take one or the other every 2-3 hours if your fever is still up.	0
location of nervous system	notice in the picture on the left that the sympathetic nervous system originates in the spinal cord . specifically , the cell bodies of the first neuron ( the preganglionic neuron ) are located in the thoracic and lumbar spinal cord .	1
what color is prednisolone acetate drops	this medication is used to treat certain eye conditions due to inflammation or injury . prednisolone works by relieving symptoms such as swelling , redness , and itching . it belongs to a class of drugs known as corticosteroids .	0
ulcerative colitis is	ulcerative colitis is a disease that causes inflammation and sores ( ulcers ) in the lining of the large intestine ( colon ) . it usually affects the lower section ( sigmoid colon ) and the rectum . but it can affect the entire colon . in general , the more of the colon that 's affected , the worse the symptoms will be .	1
economic costs of diabetes in the us in 2012	the american diabetes association association released new research on march 6 2013 estimating the total costs of diagnosed diabetes have risen to 245 billion in 2012 from 174 billion in 2007 when the cost was last examined	1
