id	qid1	qid2	question1	question2	is_duplicate	
201359	303345	303346	Why are African-Americans so beautiful?	Why are hispanics so beautiful?	0	0	0.573088
263843	69383	380476	I want to pursue PhD in Computer Science about social network,what is the open problem in social networks?	I handle social media for a non-profit. Should I start going to social media networking events? Are there any good ones in the bay area?	0	0	0.99099755
172974	266948	175089	Is there a reason why we should travel alone?	What are some reasons to travel alone?	1	1	0.8729807
15329	29298	29299	Why are people so obsessed with having a girlfriend/boyfriend?	How can a single male have a child?	0	0	0.6525526
209794	314169	314170	What are some good baby girl names starting with D?	What are some good baby girl names starting with D or H?	0	0	0.9338619
323679	449673	311332	I am 25 year old guy and never had a girlfriend. Is this weird?	I am 25 years old. I have never had a girlfriend. Is something wrong with me?	1	0	0.73900664
144933	10927	229257	"What does a good answer on Quora look like? What does it mean to ""be helpful""?"	How do you write a good answer on Quora?	1	0	0.9271651
198597	299859	299860	What are the best things to do in Hong Kong?	What is the best thing in Hong Kong?	1	0	0.8873031
382732	443182	514615	Why is my life getting so complicated?	Why is my life so complicated?	0	1	0.6764081
4443	8780	8781	Why should I crack Jee?	Is it possible to get into IIMs with low marks in graduation and 12th?	0	0	0.99643636
342772	470800	470801	Can you TRANSLATE these to English language?	Can you translate this from Bengali to English language?	0	0	0.862208
57652	101280	101281	Can anyone tell shall mi mix mobile should be purchased or not?	"What did Voltaire mean when he said, ""God is a comedian playing to an audience that is too afraid to laugh""?"	0	0	0.97454405
3941	7806	7807	Which is the best gaming laptop under 40k?	Which is the best gaming laptop under 40,000 rs?	1	1	0.9607643
357129	388153	486522	Why Tamil Nadu Universities are no good?	Why are the 10th students able to score 100% in Tamil Nadu?	0	0	0.81482875
36908	67240	67241	What is an easy way to clean toothpaste stains from a shirt without washing it?	What are some ways to remove hard water stains from dishes?	0	0	0.9805571
338653	445065	75098	What was the deadliest battle in history?	What was the bloodiest battle in history?	1	1	0.5946487
108423	178157	4251	What are your views about demonetisation in India?	What do you think about the ban on 500 and 1000 denomination notes in India?	1	0	0.91305393
255625	91188	370547	What are the difference between polyester 210T and 210D?	What is the difference between cotton and polyester?	0	0	0.96205866
329605	456281	456282	Is FMS Delhi a good option for a MBA executive program?	Is FMS a good choice for an MBA in HR? Why and why not?	0	0	0.91904724
308638	432498	432499	Is it a bad time to buy a condo or a house in the Bay Area in 2017?	Would 2017 be a good time to buy a house in Bay Area?	1	0	0.9936877
382072	513878	513879	How is vanilla extract made?	How do you make sugar cookies without vanilla extract?	0	0	0.7728993
276719	13248	40432	What is the Sahara, and how do the average temperatures there compare to the ones in the Patagonian Desert?	What is the Sahara, and how do the average temperatures there compare to the ones in the Registan Desert?	1	1	0.929222
116688	22080	190016	Why was the Roman Empire so successful?	What are some of the rarely known facts about the Roman Empire?	0	0	0.88363105
174519	268938	268939	Is it advisable to sent your cv to a professor with whom you are trying to make contact for graduate admission?	How does contacting a professor before applying factor into graduate admissions?	0	0	0.9957141
84023	142117	142118	Does a RainTPL syntax extension for Sublime Text exist? Where can I download it?	How do I hide the find/replace bar in Sublime Text 2?	0	0	0.98778194
103985	171754	171755	What is the average salary of a microbiologist in India?	What is the salary for a psychologist in india?	0	0	0.9007439
368328	167503	286338	How do you close a Bank of America account?	How can one close a bank account online?	0	0	0.64386016
354003	483088	389865	How can I create the most popular question on Quora?	Which are the most popular questions on Quora presently that also create the most discussions?	0	1	0.6991355
43368	78012	76103	What are the requirements to become president in the United States and how are the requirements different in Tanzania?	What are the requirements to become president in the United States and how are the requirements different in France?	0	0	0.9986927
